"","x"
"CL0000192.1217",110
"CL0000192.1218",109
"CL0000192.1219",108
"CL0000192.1220",102
"CL0000192.1221",111
"CL0000192.1222",108
"CL0000192.1223",109
"CL0000192.1224",112
"CL0000192.1225",102
"CL0000192.1226",102
"CL0000192.1227",101
"CL0000192.1228",111
"CL0000192.1229",107
"CL0000192.1230",101
"CL0000192.1231",102
"CL0000192.1232",109
"CL0000192.1233",102
"CL0000192.1234",101
"CL0000192.1235",110
"CL0000192.1236",101
"CL0000192.1237",109
"CL0000192.1238",112
"CL0000192.1239",102
"CL0000192.1240",102
"CL0000192.1241",102
"CL0000192.1242",107
"CL0000192.1243",112
"CL0000192.1244",101
"CL0000192.1245",101
